example_id                                                 | status  | run_time        |
./spec/models/gateway/pin_gateway_spec.rb[1:2]             | passed  | 0.51646 seconds |
./spec/models/gateway/pin_gateway_spec.rb[1:3]             | passed  | 1.09 seconds    |
./spec/models/gateway/sage_pay_spec.rb[1:1:1]              | passed  | 0.01054 seconds |
./spec/models/gateway/secure_pay_au_spec.rb[1:1:1]         | passed  | 0.01219 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:1:1]      | passed  | 0.00199 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:1]      | passed  | 0.00195 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:2:1]    | passed  | 0.00207 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:2:2]    | passed  | 0.00171 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:2:2:3]    | passed  | 0.00178 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:1:3:1]      | passed  | 0.00196 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:2:1]        | passed  | 0.00147 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:3:1]        | passed  | 0.0019 seconds  |
./spec/models/gateway/stripe_gateway_spec.rb[1:4:1]        | passed  | 0.00132 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:4:2]        | passed  | 0.00213 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:1:1]      | passed  | 0.05053 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:1:2]      | passed  | 0.04816 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:2:1]      | passed  | 0.16099 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:5:2:2]      | passed  | 0.13962 seconds |
./spec/models/gateway/stripe_gateway_spec.rb[1:6:1]        | passed  | 0.0252 seconds  |
./spec/models/gateway/usa_epay_spec.rb[1:1:1]              | pending | 0.04423 seconds |
./spec/models/gateway/usa_epay_spec.rb[1:2:1]              | passed  | 0.04705 seconds |
./spec/models/gateway/worldpay_spec.rb[1:1:1]              | passed  | 0.02064 seconds |
